original_id 	 sent1 	 sent2 	 keyword_before 	 relation 1to2 	 pattern 	 original_label 	 original_genre 	 consistent 	 formula 	 start_ends 	 new_label 
1	no *individual* finished the report on time	no delegate finished the report.	delegate	ent_r	[('Hyper > ', 'delegate-', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ent_f', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no delegate finished the report on time.	no *individual* finished the report	delegate	ent_f	[('delegate-', ' < Hyper', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ent_r', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no *somebody* finished the report on time	no delegate finished the report.	delegate	ent_r	[('Hyper > ', 'delegate-', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ent_f', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no delegate finished the report on time.	no *somebody* finished the report	delegate	ent_f	[('delegate-', ' < Hyper', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ent_r', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no *person* finished the report on time	no delegate finished the report.	delegate	ent_r	[('Hyper > ', 'delegate-', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ent_f', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no delegate finished the report on time.	no *person* finished the report	delegate	ent_f	[('delegate-', ' < Hyper', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ent_r', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no *someone* finished the report on time	no delegate finished the report.	delegate	ent_r	[('Hyper > ', 'delegate-', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_r*', 'ent_f']->['ent_f', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
1	no delegate finished the report on time.	no *someone* finished the report	delegate	ent_f	[('delegate-', ' < Hyper', '*'), (['on-', 'time-'], 'INS')]	neutral	paper:FraCaS_GQ:downward_monotone	True	['ent_f*', 'ent_f']->['ent_r', 'ent_r']	[([1], [1]), ([4, 5, 6], [4])]	neutral
2	some *individuals* finished the survey on time	some delegates finished the survey.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	neutral
2	some delegates finished the survey on time.	some *individuals* finished the survey	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	entailment
2	some *somebody* finished the survey on time	some delegates finished the survey.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	neutral
2	some delegates finished the survey on time.	some *somebody* finished the survey	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	entailment
2	some *people* finished the survey on time	some delegates finished the survey.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	neutral
2	some delegates finished the survey on time.	some *people* finished the survey	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	entailment
2	some *someone* finished the survey on time	some delegates finished the survey.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	neutral
2	some delegates finished the survey on time.	some *someone* finished the survey	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['on+', 'time+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([2, 5, 6], [2])]	entailment
3	many *individuals* obtained interesting results from the survey	many delegates obtained results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many delegates obtained interesting results from the survey.	many *individuals* obtained results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many *somebody* obtained interesting results from the survey	many delegates obtained results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many delegates obtained interesting results from the survey.	many *somebody* obtained results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many *people* obtained interesting results from the survey	many delegates obtained results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many delegates obtained interesting results from the survey.	many *people* obtained results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many *someone* obtained interesting results from the survey	many delegates obtained results from the survey.	delegates	ent_r	[('Hyper > ', 'delegates', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
3	many delegates obtained interesting results from the survey.	many *someone* obtained results from the survey	delegates	ent_f	[('delegates', ' < Hyper', '*'), (['interesting+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ind', 'ent_f']	[([1], [1]), ([3, 4], [3])]	neutral
4	several *individuals* got the results published in major national newspapers	several delegates got the results published.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	neutral
4	several delegates got the results published in major national newspapers.	several *individuals* got the results published	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	entailment
4	several *somebody* got the results published in major national newspapers	several delegates got the results published.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	neutral
4	several delegates got the results published in major national newspapers.	several *somebody* got the results published	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	entailment
4	several *people* got the results published in major national newspapers	several delegates got the results published.	delegates	ent_r	[('Hyper > ', 'delegates+', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_r*', 'ent_f']->['ent_r', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	neutral
4	several delegates got the results published in major national newspapers.	several *people* got the results published	delegates	ent_f	[('delegates+', ' < Hyper', '*'), (['in+', 'major+', 'national+', 'newspapers+'], 'INS')]	entailment	paper:FraCaS_GQ:upward_monotone	True	['ent_f*', 'ent_f']->['ent_f', 'ent_f']	[([1], [1]), ([5, 6, 7, 8, 9], [5])]	entailment
